iter	RMSE
0	18.71244471
1	18.01805662
2	17.3397882
3	16.70997473
4	16.10561821
5	15.53953469
6	15.01975227
7	14.51441936
8	14.04136612
9	13.6072936
10	13.19451109
11	12.8006332
12	12.43103622
13	12.08888135
14	11.76431487
15	11.46125008
16	11.1790403
17	10.91783088
18	10.68273866
19	10.45261711
20	10.24771138
21	10.05765211
22	9.873257615
23	9.699507466
24	9.539197203
25	9.394298298
26	9.260310481
27	9.137967871
28	9.023726253
29	8.914905209
30	8.815998828
31	8.723909652
32	8.639335967
33	8.560899143
34	8.488243738
35	8.422919786
36	8.361650967
37	8.30361843
38	8.250648497
39	8.202202154
40	8.157080562
41	8.111714339
42	8.073127682
43	8.03535534
44	8.001635565
45	7.967658087
46	7.939394021
47	7.911597583
48	7.88649463
49	7.863092827
50	7.83945242
51	7.817208402
52	7.794436934
53	7.770969043
54	7.752945074
55	7.738082495
56	7.723569105
57	7.708526935
58	7.693808182
59	7.67823187
60	7.660095857
61	7.645860252
62	7.633806615
63	7.622688114
64	7.611916014
65	7.600650588
66	7.591677507
67	7.582187016
68	7.572400654
69	7.562937843
70	7.554013593
71	7.546706326
72	7.540153049
73	7.532339678
74	7.522894608
75	7.515991412
76	7.50985402
77	7.500934564
78	7.493555286
79	7.488905372
80	7.481196171
81	7.477320974
82	7.47085248
83	7.460724732
84	7.45448883
85	7.450770379
86	7.446764379
87	7.441978265
88	7.435254121
89	7.429408477
90	7.423222259
91	7.416281113
92	7.41138143
93	7.406775804
94	7.401811414
95	7.395311334
96	7.391447669
97	7.385308361
98	7.382412306
99	7.378892698
100	7.37397788
101	7.37019006
102	7.36807274
103	7.364514008
104	7.359016459
105	7.356634365
106	7.352996886
107	7.351119238
108	7.347105282
109	7.34106502
110	7.337879912
111	7.334466989
112	7.332784533
113	7.328980892
114	7.322847867
115	7.318986638
116	7.313343671
117	7.311567455
118	7.307427541
119	7.302846146
120	7.299377221
121	7.295313601
122	7.291422475
123	7.28331515
124	7.280190126
125	7.276547489
126	7.274424169
127	7.272706168
128	7.268962875
129	7.267136015
130	7.263271188
131	7.261268599
132	7.257004901
133	7.254526157
134	7.249584298
135	7.247767961
136	7.243255173
137	7.240852791
138	7.240273032
139	7.238081313
140	7.234107154
141	7.232586242
142	7.229041221
143	7.223344241
144	7.21960986
145	7.216719127
146	7.214335692
147	7.212103138
148	7.20990921
149	7.20716
150	7.204090181
151	7.201377717
152	7.200543855
153	7.19864116
154	7.197966505
155	7.195180498
156	7.192405354
157	7.186935123
158	7.183438925
159	7.181758966
160	7.179722873
161	7.17538478
162	7.174641289
163	7.172178795
164	7.169082414
165	7.167388702
166	7.164205918
167	7.162022105
168	7.161419571
169	7.156119322
170	7.150188839
171	7.147097355
172	7.145271397
173	7.143442166
174	7.140628469
175	7.138750317
176	7.13276846
177	7.129717214
178	7.126959168
179	7.12544432
