iter	Passed	Remaining
0	20	10130
1	39	9873
2	58	9659
3	77	9568
4	102	10185
5	155	12788
6	176	12397
7	194	11966
8	215	11730
9	233	11437
10	263	11732
11	307	12496
12	326	12246
13	344	11956
14	364	11789
15	389	11784
16	421	11977
17	448	12014
18	465	11787
19	484	11617
20	502	11463
21	528	11478
22	552	11467
23	582	11557
24	600	11407
25	617	11258
26	637	11159
27	654	11038
28	690	11220
29	729	11427
30	748	11321
31	766	11205
32	784	11097
33	808	11085
34	833	11075
35	861	11108
36	886	11091
37	904	10994
38	921	10890
39	947	10899
40	973	10901
41	1000	10909
42	1023	10872
43	1040	10786
44	1058	10701
45	1075	10615
46	1104	10644
47	1135	10694
48	1161	10691
49	1180	10625
50	1199	10560
51	1217	10490
52	1237	10437
53	1261	10416
54	1286	10409
55	1310	10392
56	1329	10329
57	1346	10259
58	1366	10211
59	1388	10180
60	1411	10156
61	1446	10217
62	1468	10187
63	1486	10127
64	1516	10145
65	1549	10188
66	1569	10142
67	1590	10106
68	1610	10061
69	1632	10030
70	1652	9985
71	1671	9938
72	1698	9937
73	1723	9921
74	1751	9924
75	1771	9883
76	1793	9853
77	1817	9830
78	1849	9854
79	1879	9867
80	1901	9833
81	1921	9794
82	1940	9749
83	1965	9735
84	1998	9759
85	2032	9786
86	2052	9744
87	2072	9703
88	2093	9668
89	2119	9654
90	2177	9786
91	2198	9750
92	2219	9713
93	2255	9741
94	2302	9815
95	2324	9781
96	2351	9769
97	2402	9854
98	2423	9816
99	2443	9773
100	2469	9755
101	2509	9793
102	2534	9769
103	2556	9734
104	2576	9692
105	2595	9648
106	2622	9631
107	2650	9621
108	2682	9622
109	2703	9586
110	2725	9549
111	2747	9518
112	2775	9505
113	2808	9511
114	2836	9496
115	2858	9462
116	2879	9426
117	2916	9442
118	2964	9492
119	2990	9470
120	3019	9457
121	3048	9446
122	3079	9437
123	3100	9400
124	3121	9363
125	3150	9351
126	3198	9393
127	3220	9359
128	3241	9323
129	3266	9296
130	3295	9281
131	3322	9263
132	3345	9230
133	3366	9194
134	3388	9160
135	3416	9143
136	3449	9139
137	3477	9122
138	3491	9068
139	3515	9038
140	3547	9031
141	3593	9058
142	3617	9030
143	3642	9005
144	3673	8994
145	3703	8980
146	3730	8957
147	3752	8925
148	3775	8892
149	3805	8879
150	3832	8857
151	3858	8834
152	3881	8802
153	3902	8768
154	3937	8765
155	3989	8797
156	4011	8763
157	4035	8734
158	4065	8718
159	4093	8697
160	4116	8667
161	4139	8637
162	4167	8615
163	4194	8593
164	4226	8580
165	4249	8550
166	4272	8518
167	4304	8506
168	4330	8480
169	4356	8457
170	4381	8429
171	4402	8395
172	4425	8365
173	4452	8341
174	4483	8326
175	4513	8308
176	4537	8279
177	4588	8300
178	4621	8288
179	4643	8255
180	4668	8227
181	4691	8196
182	4713	8165
183	4743	8146
184	4771	8124
185	4799	8103
186	4821	8070
187	4843	8038
188	4867	8009
189	4894	7986
190	4926	7970
191	4953	7946
192	4977	7917
193	5005	7895
194	5047	7894
195	5081	7881
196	5105	7853
197	5132	7828
198	5179	7834
199	5213	7820
200	5240	7794
201	5262	7763
202	5292	7742
203	5323	7724
204	5351	7701
205	5384	7685
206	5420	7672
207	5450	7652
208	5474	7622
209	5498	7593
210	5523	7564
211	5573	7570
212	5596	7540
213	5625	7518
214	5644	7481
215	5666	7450
216	5690	7421
217	5720	7400
218	5749	7376
219	5786	7364
220	5808	7333
221	5831	7302
222	5858	7276
223	5889	7256
224	5918	7233
225	5941	7203
226	5963	7171
227	5985	7140
228	6006	7108
229	6041	7092
230	6074	7073
231	6098	7044
232	6120	7013
233	6143	6983
234	6171	6959
235	6199	6935
236	6233	6917
237	6256	6887
238	6278	6856
239	6300	6825
240	6326	6798
241	6363	6784
242	6399	6768
243	6422	6738
244	6445	6709
245	6475	6685
246	6535	6693
247	6557	6663
248	6582	6635
249	6609	6609
250	6640	6588
251	6669	6563
252	6693	6534
253	6716	6504
254	6738	6473
255	6761	6444
256	6797	6427
257	6854	6429
258	6875	6397
259	6900	6370
260	6921	6338
261	6944	6308
262	6971	6282
263	7003	6260
264	7037	6241
265	7060	6211
266	7083	6181
267	7108	6153
268	7136	6128
269	7167	6105
270	7201	6084
271	7223	6054
272	7248	6026
273	7278	6003
274	7310	5981
275	7341	5958
276	7366	5930
277	7394	5904
278	7424	5880
279	7457	5859
280	7486	5834
281	7509	5805
282	7531	5775
283	7554	5745
284	7585	5722
285	7615	5698
286	7643	5672
287	7669	5645
288	7692	5616
289	7723	5592
290	7753	5568
291	7786	5546
292	7812	5519
293	7844	5496
294	7898	5488
295	7949	5478
296	7984	5457
297	8025	5439
298	8059	5418
299	8092	5395
300	8131	5376
301	8161	5350
302	8191	5325
303	8216	5297
304	8240	5268
305	8274	5246
306	8299	5217
307	8329	5192
308	8351	5162
309	8379	5135
310	8402	5106
311	8429	5079
312	8463	5056
313	8490	5029
314	8513	4999
315	8541	4973
316	8562	4942
317	8589	4916
318	8628	4895
319	8665	4874
320	8690	4845
321	8711	4815
322	8735	4786
323	8766	4762
324	8799	4738
325	8848	4723
326	8875	4695
327	8908	4671
328	8960	4657
329	8982	4627
330	9011	4601
331	9034	4571
332	9070	4548
333	9096	4520
334	9119	4491
335	9144	4463
336	9172	4436
337	9226	4421
338	9248	4392
339	9271	4363
340	9293	4333
341	9322	4307
342	9351	4280
343	9405	4265
344	9431	4237
345	9459	4210
346	9489	4183
347	9519	4157
348	9544	4129
349	9566	4099
350	9588	4070
351	9626	4047
352	9656	4021
353	9683	3993
354	9705	3964
355	9728	3935
356	9760	3909
